p_loss_%,algorithm,run_idx,tcr,rounds,cfr,time_ms
40,cbba,9,0.8,14,0.0,195.774
40,cbba,10,0.7,16,0.0,230.345
40,cbba,11,0.8,19,0.0,274.871
40,cbba,12,0.9,22,0.0,325.749
40,cbba,13,1.0,18,1.0,276.536
40,cbba,14,1.0,22,1.0,324.343
40,cbba,15,1.0,17,1.0,253.646
40,cbba,16,1.0,19,1.0,276.926
40,cbba,17,0.55,12,0.0,172.938
40,cbba,18,0.55,14,0.0,201.231
40,cbba,19,0.9,15,0.0,226.207
40,cbba,20,1.0,19,1.0,287.657
40,cbba,21,0.65,14,0.0,197.902
40,cbba,22,0.65,14,0.0,201.114
40,cbba,23,1.0,24,1.0,369.35
40,cbba,24,0.6,14,0.0,202.439
40,cbba,25,0.7,14,0.0,195.692
40,cbba,26,0.8,21,0.0,295.098
40,cbba,27,0.8,18,0.0,255.325
40,cbba,28,1.0,23,1.0,337.324
40,cbba,29,0.6,13,0.0,181.174
40,cbba,30,0.8,14,0.0,206.213
40,cbba,31,1.0,24,1.0,351.98
40,cbba,32,0.9,19,0.0,270.086
40,cbba,33,0.9,18,0.0,259.179
40,cbba,34,0.8,20,0.0,289.176
40,cbba,35,0.9,18,0.0,262.32
40,cbba,36,0.9,19,0.0,288.053
40,cbba,37,0.8,15,0.0,225.564
40,cbba,38,0.75,15,0.0,236.637
40,cbba,39,0.8,18,0.0,249.694
40,cbba,40,0.75,18,0.0,266.046
40,cbba,41,0.9,19,0.0,274.37
40,cbba,42,0.75,18,0.0,260.991
40,cbba,43,1.0,22,1.0,314.545
40,cbba,44,1.0,23,1.0,340.611
40,cbba,45,0.75,15,0.0,215.106
40,cbba,46,0.9,23,0.0,328.227
40,cbba,47,0.9,18,0.0,259.363
40,cbba,48,0.9,17,0.0,246.464
40,cbba,49,0.9,21,0.0,319.477
40,acbba,0,0.9,11,0.0,176.782
40,acbba,1,1.0,12,1.0,200.259
40,acbba,2,0.9,8,0.0,137.468
40,acbba,3,0.9,13,0.0,202.575
40,acbba,4,1.0,18,1.0,286.916
40,acbba,5,1.0,13,1.0,220.606
40,acbba,6,1.0,13,1.0,226.72
40,acbba,7,1.0,16,1.0,252.647
40,acbba,8,0.7,7,0.0,115.012
40,acbba,9,0.85,7,0.0,113.133
40,acbba,10,1.0,13,1.0,224.36
40,acbba,11,1.0,10,1.0,172.221
40,acbba,12,1.0,14,1.0,223.632
40,acbba,13,1.0,12,1.0,197.68
40,acbba,14,1.0,12,1.0,194.248
40,acbba,15,1.0,8,1.0,135.209
40,acbba,16,1.0,11,1.0,183.366
40,acbba,17,0.6,7,0.0,112.173
40,acbba,18,0.55,6,0.0,101.062
40,acbba,19,1.0,14,1.0,217.027
40,acbba,20,1.0,11,1.0,190.678
40,acbba,21,0.7,7,0.0,119.118
40,acbba,22,1.0,22,1.0,336.555
40,acbba,23,1.0,15,1.0,252.954
40,acbba,24,0.8,11,0.0,188.703
40,acbba,25,0.75,8,0.0,130.037
40,acbba,26,0.8,10,0.0,159.084
40,acbba,27,0.9,11,0.0,180.472
40,acbba,28,1.0,12,1.0,201.52
40,acbba,29,1.0,15,1.0,259.654
40,acbba,30,1.0,14,1.0,223.55
40,acbba,31,1.0,12,1.0,193.007
40,acbba,32,0.9,12,0.0,186.425
40,acbba,33,0.9,9,0.0,147.333
40,acbba,34,0.8,10,0.0,155.653
40,acbba,35,1.0,10,1.0,173.475
40,acbba,36,1.0,11,1.0,185.871
40,acbba,37,1.0,11,1.0,193.416
40,acbba,38,0.75,8,0.0,128.381
40,acbba,39,1.0,12,1.0,195.247
40,acbba,40,1.0,18,1.0,296.552
40,acbba,41,1.0,11,1.0,183.729
40,acbba,42,0.75,12,0.0,187.234
40,acbba,43,1.0,13,1.0,209.007
40,acbba,44,1.0,10,1.0,179.941
40,acbba,45,0.9,10,0.0,164.257
40,acbba,46,1.0,12,1.0,195.312
40,acbba,47,0.9,13,0.0,202.154
40,acbba,48,1.0,9,1.0,153.75
40,acbba,49,1.0,10,1.0,180.826
50,cbba,0,0.85,16,0.0,234.541
50,cbba,1,0.7,15,0.0,211.981
50,cbba,2,1.0,20,1.0,296.023
50,cbba,3,0.9,18,0.0,274.231
50,cbba,4,0.95,17,0.0,251.173
50,cbba,5,1.0,20,1.0,326.358
50,cbba,6,0.7,14,0.0,205.898
50,cbba,7,0.9,21,0.0,318.798
50,cbba,8,0.8,15,0.0,216.912
50,cbba,9,0.8,15,0.0,213.146
50,cbba,10,0.8,19,0.0,267.667
50,cbba,11,0.85,16,0.0,246.454
50,cbba,12,0.65,18,0.0,254.864
50,cbba,13,0.7,16,0.0,229.062
50,cbba,14,1.0,20,1.0,311.914
50,cbba,15,0.65,13,0.0,185.464
50,cbba,16,1.0,35,1.0,511.385
50,cbba,17,0.7,13,0.0,188.3
50,cbba,18,0.8,15,0.0,217.909
50,cbba,19,0.5,14,0.0,209.053
50,cbba,20,0.8,16,0.0,223.609
50,cbba,21,0.8,17,0.0,250.132
50,cbba,22,0.8,18,0.0,269.855
50,cbba,23,0.6,12,0.0,171.49
50,cbba,24,0.75,16,0.0,253.907
50,cbba,25,0.8,18,0.0,281.489
